gene,gene_name,log2fold,p.val,p.adj,pairwise analysis
TRINITY_DN2879_c0_g1_i1,mmp14b,-0.243380812,1.02E-05,0.008595925,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN2883_c0_g1_i11,HSPA2,0.063919497,2.38E-25,5.62E-21,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN2885_c0_g1_i1,tubb5,0.017933457,7.62E-05,0.041200612,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN2927_c0_g1_i2,klf11a,-0.014578708,3.35E-07,0.000506983,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN2942_c0_g3_i3,pwwp2a,0.105813724,4.69E-08,9.06E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN2988_c0_g1_i2,SERF2,-0.07300583,4.22E-09,1.08E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3008_c0_g1_i1,gatm,0.113508091,4.41E-07,0.000630012,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN31325_c0_g1_i1,FLOT1,0.021192045,5.10E-07,0.000709671,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3155_c3_g1_i1,chd3,0.01231689,2.96E-07,0.000459392,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3354_c0_g1_i1,txndc17,0.056667403,9.22E-05,0.046017104,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN338_c2_g1_i4,sh3gl2a,-0.023330016,2.29E-05,0.01650883,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN343_c0_g1_i1,ypel2a,0.055583488,1.07E-10,3.96E-07,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3466_c0_g1_i1,cryaba,-0.015224501,6.84E-06,0.00640448,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3468_c0_g1_i1,dnajb1b,0.048075209,1.71E-09,4.97E-06,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN364_c0_g1_i14,gnb1a,-0.003544856,5.24E-05,0.030508192,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3689_c5_g1_i7,LLGL1,0.001325019,2.98E-14,1.95E-10,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3717_c0_g1_i1,ivns1abpa,-0.03882956,7.84E-15,5.76E-11,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3778_c0_g1_i1,nat9,0.060087277,8.96E-06,0.007814128,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3790_c0_g1_i1,SLC48A1,-0.019482241,6.62E-05,0.036503212,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3858_c0_g1_i4,pstpip1b,0.012911255,1.26E-05,0.009980065,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN3957_c0_g1_i1,btf3l4,0.041797132,1.82E-05,0.013734466,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4014_c0_g2_i2,atf5b,-0.098081989,6.19E-06,0.005940035,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4064_c1_g1_i1,bzw1a,-0.029391987,2.28E-06,0.002691809,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN407_c0_g3_i1,oaz1a,0.033279418,3.22E-07,0.000493105,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN410_c0_g1_i1,atp5f1d,0.217054031,5.37E-06,0.005414109,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4222_c0_g1_i6,SCD,0.017812144,3.04E-05,0.020989161,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN43163_c0_g1_i1,prkag3a,-0.052445781,4.07E-06,0.004211582,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4424_c0_g1_i16,zgc:103625,-0.190501677,3.80E-05,0.025339991,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4424_c0_g1_i16,hgs,-0.190501677,3.80E-05,0.025339991,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4473_c5_g1_i1,ypel3,-0.028935531,5.87E-09,1.44E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4798_c0_g1_i2,smim14,0.073666343,2.30E-05,0.01650883,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN484_c0_g2_i1,DDX5,0.03593303,8.82E-05,0.044841193,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4855_c0_g1_i1,fam199x,-0.02728335,6.79E-05,0.037242723,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN4968_c0_g1_i2,kazna,0.049011274,3.42E-06,0.003658687,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN499_c1_g1_i1,h2az2a,-0.04031856,1.81E-08,3.82E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN5052_c0_g1_i2,stard7,0.076342562,5.25E-06,0.005337656,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN5351_c0_g1_i2,mbpa,-0.023645826,8.51E-05,0.044294601,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN5398_c0_g1_i1,EEF1A1,0.051687436,1.43E-09,4.42E-06,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN5607_c0_g2_i2,si:ch211-282b22.1,0.017511087,2.78E-06,0.003123477,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN5694_c0_g1_i1,fkbp4,0.021376439,2.52E-17,2.70E-13,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN571_c0_g1_i2,calm1b,-0.125987527,5.51E-05,0.031257522,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN582_c0_g1_i1,ralaa,0.02799885,1.41E-05,0.011030138,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN6042_c0_g5_i1,cotl1,-0.04965946,5.92E-06,0.005814748,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN6060_c0_g1_i1,lifra,-0.04781461,3.09E-06,0.003440478,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN6575_c0_g1_i1,mfsd5,0.162468971,9.49E-05,0.04664911,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN6593_c0_g1_i1,nkiras2,-0.015515928,3.52E-05,0.023843358,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN6850_c0_g1_i3,adgrb2,0.06645555,7.10E-05,0.03857515,shared between C-LCvsHW-HC and HW-LCvsC-HC
